title_id,user_id,reaction
1,392,DISLIKE
1,484,LIKE
1,626,LIKE
2,457,DISLIKE
2,260,LIKE
2,615,LIKE
2,42,DISLIKE
2,766,LIKE
2,601,LIKE
2,806,DISLIKE
2,195,LIKE
2,462,LIKE
3,752,DISLIKE
3,658,LIKE
3,270,LIKE
3,833,DISLIKE
3,245,LIKE
4,571,DISLIKE
4,327,LIKE
4,423,LIKE
4,934,DISLIKE
4,912,LIKE
4,526,LIKE
4,387,DISLIKE
4,455,LIKE
4,120,LIKE
4,107,DISLIKE
4,869,LIKE
4,55,LIKE
4,174,DISLIKE
4,166,LIKE
4,660,LIKE
4,275,DISLIKE
4,286,LIKE
4,496,LIKE
4,818,DISLIKE
4,556,LIKE
4,929,LIKE
4,465,DISLIKE
4,145,LIKE
5,316,DISLIKE
5,541,LIKE
5,567,LIKE
5,771,DISLIKE
5,617,LIKE
5,8,LIKE
5,121,DISLIKE
5,145,LIKE
5,927,LIKE
5,790,DISLIKE
5,616,LIKE
5,564,LIKE
5,57,DISLIKE
5,135,LIKE
5,675,LIKE
5,88,DISLIKE
5,453,LIKE
5,41,LIKE
5,879,DISLIKE
5,694,LIKE
5,568,LIKE
5,480,DISLIKE
5,244,LIKE
5,15,LIKE
6,631,DISLIKE
6,545,LIKE
6,398,LIKE
6,724,DISLIKE
6,356,LIKE
6,783,LIKE
6,228,DISLIKE
6,709,LIKE
6,806,LIKE
6,321,DISLIKE
6,294,LIKE
6,615,LIKE
6,362,DISLIKE
6,53,LIKE
7,372,DISLIKE
7,638,LIKE
7,383,LIKE
7,81,DISLIKE
7,829,LIKE
7,750,LIKE
7,358,DISLIKE
7,354,LIKE
7,660,LIKE
7,83,DISLIKE
7,71,LIKE
7,633,LIKE
7,206,DISLIKE
7,564,LIKE
7,745,LIKE
7,37,DISLIKE
7,422,LIKE
7,484,LIKE
7,935,DISLIKE
7,207,LIKE
7,619,LIKE
7,635,DISLIKE
7,705,LIKE
7,690,LIKE
7,805,DISLIKE
7,338,LIKE
7,860,LIKE
7,634,DISLIKE
7,412,LIKE
8,606,DISLIKE
8,446,LIKE
8,920,LIKE
8,268,DISLIKE
8,852,LIKE
8,266,LIKE
8,4,DISLIKE
8,116,LIKE
8,257,LIKE
8,654,DISLIKE
9,786,DISLIKE
9,629,LIKE
9,1,LIKE
9,793,DISLIKE
9,180,LIKE
9,519,LIKE
9,479,DISLIKE
10,96,DISLIKE
10,752,LIKE
10,210,LIKE
10,369,DISLIKE
10,856,LIKE
10,824,LIKE
10,213,DISLIKE
10,359,LIKE
10,26,LIKE
10,740,DISLIKE
10,666,LIKE
10,555,LIKE
10,74,DISLIKE
10,159,LIKE
10,641,LIKE
10,602,DISLIKE
10,427,LIKE
10,560,LIKE
10,92,DISLIKE
10,885,LIKE
10,693,LIKE
11,824,DISLIKE
12,717,DISLIKE
12,420,LIKE
12,83,LIKE
12,668,DISLIKE
12,194,LIKE
12,802,LIKE
12,93,DISLIKE
12,163,LIKE
12,80,LIKE
12,690,DISLIKE
13,556,DISLIKE
13,764,LIKE
13,430,LIKE
13,141,DISLIKE
13,738,LIKE
13,92,LIKE
13,523,DISLIKE
13,424,LIKE
13,650,LIKE
13,89,DISLIKE
13,914,LIKE
13,423,LIKE
13,239,DISLIKE
13,948,LIKE
13,497,LIKE
13,746,DISLIKE
13,428,LIKE
13,9,LIKE
13,101,DISLIKE
13,934,LIKE
13,876,LIKE
13,204,DISLIKE
13,825,LIKE
13,608,LIKE
13,4,DISLIKE
13,767,LIKE
14,610,DISLIKE
14,901,LIKE
14,282,LIKE
14,389,DISLIKE
14,793,LIKE
14,366,LIKE
14,542,DISLIKE
14,162,LIKE
14,291,LIKE
14,142,DISLIKE
14,141,LIKE
14,362,LIKE
14,85,DISLIKE
14,171,LIKE
14,224,LIKE
14,4,DISLIKE
14,802,LIKE
14,883,LIKE
14,881,DISLIKE
14,930,LIKE
14,644,LIKE
14,691,DISLIKE
15,457,DISLIKE
15,288,LIKE
15,785,LIKE
15,534,DISLIKE
15,10,LIKE
15,505,LIKE
15,788,DISLIKE
15,25,LIKE
15,213,LIKE
15,258,DISLIKE
16,603,DISLIKE
16,570,LIKE
16,74,LIKE
16,421,DISLIKE
16,788,LIKE
16,35,LIKE
16,889,DISLIKE
16,712,LIKE
17,493,DISLIKE
17,104,LIKE
17,243,LIKE
17,560,DISLIKE
17,412,LIKE
17,264,LIKE
17,44,DISLIKE
17,271,LIKE
17,119,LIKE
17,773,DISLIKE
17,364,LIKE
17,833,LIKE
17,828,DISLIKE
17,297,LIKE
17,886,LIKE
17,227,DISLIKE
17,275,LIKE
17,888,LIKE
17,918,DISLIKE
17,679,LIKE
17,128,LIKE
18,277,DISLIKE
18,797,LIKE
18,583,LIKE
18,336,DISLIKE
18,251,LIKE
18,915,LIKE
18,36,DISLIKE
18,428,LIKE
18,605,LIKE
18,894,DISLIKE
18,762,LIKE
18,390,LIKE
18,106,DISLIKE
18,161,LIKE
18,312,LIKE
18,103,DISLIKE
18,793,LIKE
18,544,DISLIKE
18,795,LIKE
18,497,LIKE
18,89,DISLIKE
18,32,LIKE
19,56,DISLIKE
19,355,LIKE
19,565,LIKE
19,941,DISLIKE
19,54,LIKE
19,18,LIKE
19,842,DISLIKE
19,670,LIKE
19,226,LIKE
19,150,DISLIKE
19,698,LIKE
19,657,LIKE
19,346,DISLIKE
19,160,LIKE
20,688,DISLIKE
20,668,LIKE
20,404,LIKE
20,152,DISLIKE
20,75,LIKE
20,3,LIKE
20,882,DISLIKE
20,543,LIKE
20,530,LIKE
